lane,racer_id,racer_name,racer_class,avg_st,racer_win_rate,local_win_rate,motor_2ren,boat_2ren,racer_name_beforeinfo,weight,exhibition_time,tilt,exhibition_st,temperature,wind_speed,water_temperature,wave_height,finish,race_date,jcd,venue,race_no,race_key,trifecta,trifecta_payout_per_100
1,4910,中村 泰平,A1,0.15,6.62,6.9,29.41,41.18,中村 泰平,52.0,6.72,0.0,0.09,25.8,4.0,24.7,4.0,1,20260606,21,芦屋,5,20260606_21_5,1-2-5,580
2,4073,大橋 純一郎,A2,0.17,6.69,5.86,7.69,53.57,大橋 純一郎,52.4,6.76,0.0,0.18,25.8,4.0,24.7,4.0,2,20260606,21,芦屋,5,20260606_21_5,1-2-5,580
3,5143,常盤 海心,B1,0.19,3.99,4.16,46.88,52.78,常盤 海心,53.7,6.71,0.0,0.21,25.8,4.0,24.7,4.0,4,20260606,21,芦屋,5,20260606_21_5,1-2-5,580
4,5148,松本 怜,B1,0.19,5.69,0.0,38.24,47.37,松本 怜,46.5,6.74,0.0,0.28,25.8,4.0,24.7,4.0,4,20260606,21,芦屋,5,20260606_21_5,1-2-5,580
5,3502,渡邉 英児,B1,0.18,5.71,4.89,38.24,37.84,渡邉 英児,52.6,6.76,0.0,0.13,25.8,4.0,24.7,4.0,3,20260606,21,芦屋,5,20260606_21_5,1-2-5,580
6,5008,羽野 諒,B1,0.13,4.49,3.94,26.47,35.29,羽野 諒,52.7,6.76,0.0,0.08,25.8,4.0,24.7,4.0,4,20260606,21,芦屋,5,20260606_21_5,1-2-5,580
1,3680,森林 太,B1,0.19,4.25,3.74,31.43,39.29,森林 太,53.7,6.74,0.0,0.17,26.1,3.0,24.8,3.0,4,20260606,21,芦屋,6,20260606_21_6,3-6-5,11840
2,5206,梅原 祥平,B1,0.14,4.26,4.61,12.0,47.22,梅原 祥平,52.0,6.77,0.0,0.13,26.1,3.0,24.8,3.0,4,20260606,21,芦屋,6,20260606_21_6,3-6-5,11840
3,4601,森野 正弘,A2,0.14,6.71,7.1,30.43,19.23,森野 正弘,53.0,6.76,0.0,0.07,26.1,3.0,24.8,3.0,1,20260606,21,芦屋,6,20260606_21_6,3-6-5,11840
4,3459,中野 和裕,B1,0.17,3.57,3.0,36.84,6.45,中野 和裕,52.3,6.72,0.0,0.02,26.1,3.0,24.8,3.0,4,20260606,21,芦屋,6,20260606_21_6,3-6-5,11840
5,4556,竹井 奈美,A1,0.15,6.4,7.5,12.5,29.63,竹井 奈美,47.0,6.76,0.0,0.01,26.1,3.0,24.8,3.0,3,20260606,21,芦屋,6,20260606_21_6,3-6-5,11840
6,4336,松田 竜馬,B1,0.15,4.8,5.19,31.03,33.33,松田 竜馬,52.8,6.75,0.0,-0.01,26.1,3.0,24.8,3.0,2,20260606,21,芦屋,6,20260606_21_6,3-6-5,11840
1,3621,天野 晶夫,B1,0.18,5.54,5.0,8.82,29.73,天野 晶夫,52.0,6.72,0.0,0.05,26.5,4.0,25.1,4.0,2,20260606,21,芦屋,7,20260606_21_7,3-1-5,1260
2,3551,藤田 美代,B1,0.18,3.45,4.35,10.0,34.29,藤田 美代,46.0,6.73,-0.5,0.05,26.5,4.0,25.1,4.0,4,20260606,21,芦屋,7,20260606_21_7,3-1-5,1260
3,3685,荒井 輝年,B1,0.16,5.7,6.67,31.43,21.05,荒井 輝年,54.1,6.72,-0.5,-0.01,26.5,4.0,25.1,4.0,1,20260606,21,芦屋,7,20260606_21_7,3-1-5,1260
4,5359,佐藤 世那,B1,0.16,4.62,1.67,41.67,36.11,佐藤 世那,53.6,6.67,0.0,0.02,26.5,4.0,25.1,4.0,4,20260606,21,芦屋,7,20260606_21_7,3-1-5,1260
5,4247,齊藤 優,B1,0.16,5.27,5.25,20.69,31.43,齊藤 優,53.0,6.7,0.5,0.17,26.5,4.0,25.1,4.0,3,20260606,21,芦屋,7,20260606_21_7,3-1-5,1260
6,5412,久保田 凪紗,B2,0.18,1.59,1.71,32.35,48.57,久保田 凪紗,44.0,6.81,0.0,0.31,26.5,4.0,25.1,4.0,4,20260606,21,芦屋,7,20260606_21_7,3-1-5,1260
1,5023,久永 祥平,B1,0.15,5.86,5.6,44.12,30.77,久永 祥平,52.0,6.71,0.0,0.21,26.2,4.0,25.3,4.0,1,20260606,21,芦屋,8,20260606_21_8,1-4-3,4780
2,4357,田中 和也,A1,0.16,7.01,7.57,29.73,34.62,田中 和也,52.0,6.64,0.0,0.29,26.2,4.0,25.3,4.0,4,20260606,21,芦屋,8,20260606_21_8,1-4-3,4780
3,4769,馬場 剛,A2,0.12,6.38,0.0,26.92,20.51,馬場 剛,51.5,6.73,0.0,0.15,26.2,4.0,25.3,4.0,3,20260606,21,芦屋,8,20260606_21_8,1-4-3,4780
4,4684,楠原 翔太,A2,0.14,5.28,5.0,27.78,23.08,楠原 翔太,52.9,6.75,0.0,0.16,26.2,4.0,25.3,4.0,2,20260606,21,芦屋,8,20260606_21_8,1-4-3,4780
5,3661,柳瀬 興志,B1,0.16,5.47,4.74,50.0,15.15,柳瀬 興志,58.2,6.74,0.0,0.13,26.2,4.0,25.3,4.0,4,20260606,21,芦屋,8,20260606_21_8,1-4-3,4780
6,5284,嘉手苅 徹哉,B2,0.16,3.43,2.04,21.88,41.67,嘉手苅 徹哉,52.0,6.71,0.0,0.17,26.2,4.0,25.3,4.0,4,20260606,21,芦屋,8,20260606_21_8,1-4-3,4780
1,4359,横川 聖志,A2,0.13,6.03,5.82,22.86,57.14,横川 聖志,56.6,6.78,-0.5,0.06,26.0,5.0,25.4,5.0,3,20260606,21,芦屋,9,20260606_21_9,5-2-1,5580
2,5008,羽野 諒,B1,0.13,4.49,3.94,26.47,35.29,羽野 諒,52.7,6.68,0.0,0.05,26.0,5.0,25.4,5.0,2,20260606,21,芦屋,9,20260606_21_9,5-2-1,5580
3,4424,松尾 昂明,A2,0.16,5.71,5.93,28.57,33.33,松尾 昂明,52.0,6.64,0.0,0.3,26.0,5.0,25.4,5.0,4,20260606,21,芦屋,9,20260606_21_9,5-2-1,5580
4,3224,栗山 繁洋,B1,0.19,3.83,4.35,36.11,48.15,栗山 繁洋,52.0,6.76,0.0,0.16,26.0,5.0,25.4,5.0,4,20260606,21,芦屋,9,20260606_21_9,5-2-1,5580
5,4596,葛原 大陽,A1,0.14,5.72,4.7,43.24,64.29,葛原 大陽,52.1,6.7,0.0,0.13,26.0,5.0,25.4,5.0,1,20260606,21,芦屋,9,20260606_21_9,5-2-1,5580
6,3871,池田 紫乃,B1,0.18,4.14,2.17,31.43,28.13,池田 紫乃,44.5,6.72,0.0,0.32,26.0,5.0,25.4,5.0,4,20260606,21,芦屋,9,20260606_21_9,5-2-1,5580
1,4703,森永 隆,A2,0.14,6.45,6.17,47.22,16.67,森永 隆,52.0,6.71,0.0,0.1,26.4,5.0,25.6,5.0,1,20260606,21,芦屋,10,20260606_21_10,1-4-3,720
2,5039,倉田 茂将,A2,0.15,4.45,4.56,12.12,8.7,倉田 茂将,55.3,6.84,0.0,0.18,26.4,5.0,25.6,5.0,4,20260606,21,芦屋,10,20260606_21_10,1-4-3,720
3,3502,渡邉 英児,B1,0.18,5.71,4.89,38.24,37.84,渡邉 英児,52.6,6.76,0.0,0.18,26.4,5.0,25.6,5.0,3,20260606,21,芦屋,10,20260606_21_10,1-4-3,720
4,4910,中村 泰平,A1,0.15,6.62,6.9,29.41,41.18,中村 泰平,52.0,6.7,0.0,0.02,26.4,5.0,25.6,5.0,2,20260606,21,芦屋,10,20260606_21_10,1-4-3,720
5,4143,浦田 晃嗣,B1,0.16,3.9,3.86,40.0,40.74,浦田 晃嗣,55.6,6.82,0.0,0.13,26.4,5.0,25.6,5.0,4,20260606,21,芦屋,10,20260606_21_10,1-4-3,720
6,4601,森野 正弘,A2,0.14,6.71,7.1,30.43,19.23,森野 正弘,53.0,6.74,0.0,0.21,26.4,5.0,25.6,5.0,4,20260606,21,芦屋,10,20260606_21_10,1-4-3,720
1,5049,松井 友汰,A2,0.16,5.74,4.55,37.93,18.52,松井 友汰,54.0,6.71,0.0,0.09,27.5,4.0,25.9,4.0,4,20260606,21,芦屋,11,20260606_21_11,3-2-4,40680
2,3999,大瀧 明日香,A1,0.15,6.21,6.9,43.24,40.63,大瀧 明日香,46.0,6.68,0.0,0.1,27.5,4.0,25.9,4.0,2,20260606,21,芦屋,11,20260606_21_11,3-2-4,40680
3,3621,天野 晶夫,B1,0.18,5.54,5.0,8.82,29.73,天野 晶夫,52.0,6.74,0.0,-0.01,27.5,4.0,25.9,4.0,1,20260606,21,芦屋,11,20260606_21_11,3-2-4,40680
4,4109,谷津 幸宏,A1,0.13,5.88,5.7,33.33,31.43,谷津 幸宏,52.6,6.81,-0.5,-0.03,27.5,4.0,25.9,4.0,3,20260606,21,芦屋,11,20260606_21_11,3-2-4,40680
5,5206,梅原 祥平,B1,0.14,4.26,4.61,12.0,47.22,梅原 祥平,52.0,6.74,0.5,0.14,27.5,4.0,25.9,4.0,4,20260606,21,芦屋,11,20260606_21_11,3-2-4,40680
6,4079,出畑 孝典,A2,0.16,5.89,6.3,40.63,35.14,出畑 孝典,52.0,6.74,0.0,-0.01,27.5,4.0,25.9,4.0,4,20260606,21,芦屋,11,20260606_21_11,3-2-4,40680
1,5026,安河内 健,A1,0.15,6.49,8.71,43.24,28.13,安河内 健,56.2,6.7,0.0,0.11,27.3,6.0,26.1,6.0,2,20260606,21,芦屋,12,20260606_21_12,3-1-5,4710
2,5359,佐藤 世那,B1,0.16,4.62,1.67,41.67,36.11,佐藤 世那,53.6,6.67,0.0,0.09,27.3,6.0,26.1,6.0,4,20260606,21,芦屋,12,20260606_21_12,3-1-5,4710
3,4441,末永 由楽,A2,0.14,5.91,4.61,15.0,19.05,末永 由楽,52.0,6.76,0.0,0.06,27.3,6.0,26.1,6.0,1,20260606,21,芦屋,12,20260606_21_12,3-1-5,4710
4,3680,森林 太,B1,0.19,4.25,3.74,31.43,39.29,森林 太,53.7,6.71,0.0,0.19,27.3,6.0,26.1,6.0,4,20260606,21,芦屋,12,20260606_21_12,3-1-5,4710
5,4357,田中 和也,A1,0.16,7.01,7.57,29.73,34.62,田中 和也,52.0,6.69,0.0,0.14,27.3,6.0,26.1,6.0,3,20260606,21,芦屋,12,20260606_21_12,3-1-5,4710
6,4073,大橋 純一郎,A2,0.17,6.69,5.86,7.69,53.57,大橋 純一郎,52.4,6.74,0.0,0.2,27.3,6.0,26.1,6.0,4,20260606,21,芦屋,12,20260606_21_12,3-1-5,4710
1,3303,渡辺 豊,B1,0.2,4.79,6.07,66.67,46.67,渡辺 豊,53.7,6.94,0.0,0.09,24.0,2.0,25.0,1.0,2,20260606,24,大村,1,20260606_24_1,5-1-3,2920
2,4876,梅木 敬太,B1,0.18,4.6,0.0,33.33,57.14,梅木 敬太,53.4,6.97,0.0,0.14,24.0,2.0,25.0,1.0,4,20260606,24,大村,1,20260606_24_1,5-1-3,2920
3,4379,桑島 和宏,A1,0.16,6.11,5.4,0.0,60.0,桑島 和宏,57.1,6.95,0.0,0.06,24.0,2.0,25.0,1.0,3,20260606,24,大村,1,20260606_24_1,5-1-3,2920
4,4113,木村 浩士,B1,0.19,4.78,4.85,20.0,40.0,木村 浩士,55.7,7.04,0.0,0.14,24.0,2.0,25.0,1.0,4,20260606,24,大村,1,20260606_24_1,5-1-3,2920
5,5238,笹木 香吾,A2,0.14,5.5,4.85,33.33,0.0,笹木 香吾,53.1,6.96,0.0,0.05,24.0,2.0,25.0,1.0,1,20260606,24,大村,1,20260606_24_1,5-1-3,2920
6,5435,中西 月輝,B2,0.0,1.33,0.0,44.44,20.0,中西 月輝,48.9,6.91,-0.5,0.2,24.0,2.0,25.0,1.0,4,20260606,24,大村,1,20260606_24_1,5-1-3,2920
1,3297,藤丸 光一,B1,0.18,4.36,4.54,0.0,20.0,藤丸 光一,48.5,6.89,0.0,0.07,26.0,2.0,25.0,1.0,4,20260606,24,大村,2,20260606_24_2,4-2-5,2010
2,4610,佐藤 大佑,A2,0.16,6.24,4.5,66.67,20.0,佐藤 大佑,54.5,6.94,0.0,0.13,26.0,2.0,25.0,1.0,2,20260606,24,大村,2,20260606_24_2,4-2-5,2010
3,5154,村松 栄太,B1,0.19,4.59,6.26,20.0,20.0,村松 栄太,52.0,6.95,-0.5,0.15,26.0,2.0,25.0,1.0,4,20260606,24,大村,2,20260606_24_2,4-2-5,2010
4,4428,有賀 達也,A1,0.14,6.31,6.0,44.44,40.0,有賀 達也,52.0,6.9,0.0,0.13,26.0,2.0,25.0,1.0,1,20260606,24,大村,2,20260606_24_2,4-2-5,2010
5,4496,内堀 学,A2,0.18,6.71,6.67,60.0,40.0,内堀 学,52.0,6.92,0.5,0.05,26.0,2.0,25.0,1.0,3,20260606,24,大村,2,20260606_24_2,4-2-5,2010
6,3212,亀本 勇樹,B1,0.17,4.95,4.3,20.0,11.11,亀本 勇樹,58.5,7.08,-0.5,0.36,26.0,2.0,25.0,1.0,4,20260606,24,大村,2,20260606_24_2,4-2-5,2010
1,3282,池本 輝明,B1,0.2,4.55,4.47,40.0,50.0,池本 輝明,52.0,6.91,0.0,0.19,26.0,2.0,25.0,1.0,1,20260606,24,大村,3,20260606_24_3,1-2-4,7160
2,4632,長尾 京志郎,B1,0.18,4.68,3.98,50.0,20.0,長尾 京志郎,52.0,6.97,0.0,0.19,26.0,2.0,25.0,1.0,2,20260606,24,大村,3,20260606_24_3,1-2-4,7160
3,4950,高岡 竜也,A2,0.17,6.92,5.05,16.67,23.08,高岡 竜也,52.1,6.92,0.0,0.06,26.0,2.0,25.0,1.0,4,20260606,24,大村,3,20260606_24_3,1-2-4,7160
4,5204,宇恵 有香,B2,0.0,3.95,0.0,22.22,40.0,宇恵 有香,46.0,6.92,0.0,0.06,26.0,2.0,25.0,1.0,3,20260606,24,大村,3,20260606_24_3,1-2-4,7160
5,4727,安部 慎一,B1,0.14,4.06,3.5,0.0,40.0,安部 慎一,53.4,6.94,0.0,0.11,26.0,2.0,25.0,1.0,4,20260606,24,大村,3,20260606_24_3,1-2-4,7160
6,4539,金子 賢志,A1,0.14,6.61,6.86,0.0,42.86,金子 賢志,52.0,6.9,0.0,0.06,26.0,2.0,25.0,1.0,4,20260606,24,大村,3,20260606_24_3,1-2-4,7160
1,5158,宮脇 遼太,A2,0.17,6.77,6.67,22.22,80.0,宮脇 遼太,52.0,6.89,0.5,0.08,26.0,2.0,25.0,1.0,2,20260606,24,大村,4,20260606_24_4,2-1-3,6180
2,5013,山下 夏鈴,B1,0.17,5.44,5.5,50.0,80.0,山下 夏鈴,45.0,6.78,0.0,0.17,26.0,2.0,25.0,1.0,1,20260606,24,大村,4,20260606_24_4,2-1-3,6180
3,5156,坂野 さくら,B1,0.19,4.33,0.0,16.67,28.57,坂野 さくら,47.0,6.92,0.0,0.01,26.0,2.0,25.0,1.0,3,20260606,24,大村,4,20260606_24_4,2-1-3,6180
4,4174,赤坂 俊輔,A1,0.16,6.21,6.37,40.0,0.0,赤坂 俊輔,52.0,6.92,0.0,0.16,26.0,2.0,25.0,1.0,4,20260606,24,大村,4,20260606_24_4,2-1-3,6180
5,4896,花本 剛,B1,0.19,3.9,4.42,40.0,0.0,花本 剛,58.9,7.0,0.0,0.17,26.0,2.0,25.0,1.0,4,20260606,24,大村,4,20260606_24_4,2-1-3,6180
6,3454,井川 大作,B1,0.15,5.52,3.72,100.0,35.71,井川 大作,54.5,6.94,0.0,0.14,26.0,2.0,25.0,1.0,4,20260606,24,大村,4,20260606_24_4,2-1-3,6180
1,3895,堀本 裕也,B1,0.18,4.28,3.53,0.0,14.29,堀本 裕也,46.5,6.98,0.0,0.27,26.0,1.0,25.0,1.0,4,20260606,24,大村,5,20260606_24_5,3-2-4,1680
2,4535,北山 康介,A1,0.14,6.35,7.17,33.33,41.67,北山 康介,53.2,6.93,0.0,-0.03,26.0,1.0,25.0,1.0,2,20260606,24,大村,5,20260606_24_5,3-2-4,1680
3,4737,竹井 貴史,A2,0.16,7.54,7.45,22.22,60.0,竹井 貴史,52.8,6.98,0.0,0.01,26.0,1.0,25.0,1.0,1,20260606,24,大村,5,20260606_24_5,3-2-4,1680
4,4041,小林 基樹,B2,0.22,4.42,3.62,33.33,20.0,小林 基樹,52.4,6.92,-0.5,0.13,26.0,1.0,25.0,1.0,3,20260606,24,大村,5,20260606_24_5,3-2-4,1680
5,5338,香月 大輝,B1,0.18,4.14,1.96,22.22,50.0,香月 大輝,52.0,6.92,0.0,0.06,26.0,1.0,25.0,1.0,4,20260606,24,大村,5,20260606_24_5,3-2-4,1680
6,4163,山崎 裕司,A2,0.17,5.48,6.16,0.0,83.33,山崎 裕司,51.5,6.92,0.0,0.05,26.0,1.0,25.0,1.0,4,20260606,24,大村,5,20260606_24_5,3-2-4,1680
1,5243,三馬 崇史,A2,0.14,5.05,3.89,33.33,16.67,三馬 崇史,53.0,6.92,0.0,0.13,26.0,1.0,25.0,1.0,4,20260606,24,大村,6,20260606_24_6,4-3-5,12160
2,3546,中里 昌志,B1,0.19,4.69,4.71,0.0,20.0,中里 昌志,52.0,7.04,0.0,0.3,26.0,1.0,25.0,1.0,4,20260606,24,大村,6,20260606_24_6,4-3-5,12160
3,4288,永田 啓二,A1,0.13,7.31,6.97,33.33,40.0,永田 啓二,52.0,6.95,0.5,0.16,26.0,1.0,25.0,1.0,2,20260606,24,大村,6,20260606_24_6,4-3-5,12160
4,4527,高野 心吾,B1,0.17,4.09,2.67,60.0,0.0,高野 心吾,52.0,6.9,0.0,0.14,26.0,1.0,25.0,1.0,1,20260606,24,大村,6,20260606_24_6,4-3-5,12160
5,3303,渡辺 豊,B1,0.2,4.79,6.07,66.67,46.67,渡辺 豊,53.7,6.94,0.0,0.06,26.0,1.0,25.0,1.0,3,20260606,24,大村,6,20260606_24_6,4-3-5,12160
6,3631,田添 康介,B1,0.15,2.48,4.8,0.0,80.0,田添 康介,58.6,7.0,0.0,0.12,26.0,1.0,25.0,1.0,4,20260606,24,大村,6,20260606_24_6,4-3-5,12160
1,3900,香川 素子,A1,0.16,6.21,7.38,33.33,12.5,香川 素子,47.3,6.96,0.0,0.25,26.0,1.0,25.0,1.0,1,20260606,24,大村,7,20260606_24_7,1-5-2,4460
2,4496,内堀 学,A2,0.18,6.71,6.67,60.0,40.0,内堀 学,52.0,6.94,0.0,0.06,26.0,1.0,25.0,1.0,3,20260606,24,大村,7,20260606_24_7,1-5-2,4460
3,4876,梅木 敬太,B1,0.18,4.6,0.0,33.33,57.14,梅木 敬太,53.4,6.96,0.0,0.02,26.0,1.0,25.0,1.0,4,20260606,24,大村,7,20260606_24_7,1-5-2,4460
4,4315,山崎 昂介,B1,0.19,5.04,5.93,44.44,100.0,山崎 昂介,52.8,6.91,0.0,0.16,26.0,1.0,25.0,1.0,4,20260606,24,大村,7,20260606_24_7,1-5-2,4460
5,5154,村松 栄太,B1,0.19,4.59,6.26,20.0,20.0,村松 栄太,52.0,6.96,0.0,0.02,26.0,1.0,25.0,1.0,2,20260606,24,大村,7,20260606_24_7,1-5-2,4460
6,5409,宮本 琉正,B2,0.17,1.81,2.14,80.0,15.38,宮本 琉正,56.3,6.9,0.5,0.13,26.0,1.0,25.0,1.0,4,20260606,24,大村,7,20260606_24_7,1-5-2,4460
1,4302,西野 翔太,A2,0.13,6.77,6.92,44.44,0.0,西野 翔太,52.6,6.93,-0.5,0.08,25.0,1.0,25.0,1.0,1,20260606,24,大村,8,20260606_24_8,1-5-4,7120
2,4172,森定 晃史,A2,0.15,6.27,7.08,40.0,40.0,森定 晃史,52.1,6.99,0.0,0.12,25.0,1.0,25.0,1.0,4,20260606,24,大村,8,20260606_24_8,1-5-4,7120
3,4113,木村 浩士,B1,0.19,4.78,4.85,20.0,40.0,木村 浩士,55.7,7.07,0.0,0.12,25.0,1.0,25.0,1.0,4,20260606,24,大村,8,20260606_24_8,1-5-4,7120
4,3297,藤丸 光一,B1,0.18,4.36,4.54,0.0,20.0,藤丸 光一,48.5,6.9,0.0,0.09,25.0,1.0,25.0,1.0,3,20260606,24,大村,8,20260606_24_8,1-5-4,7120
5,4632,長尾 京志郎,B1,0.18,4.68,3.98,50.0,20.0,長尾 京志郎,52.0,7.0,0.0,0.17,25.0,1.0,25.0,1.0,2,20260606,24,大村,8,20260606_24_8,1-5-4,7120
6,4469,土山 卓也,A2,0.16,5.97,0.0,20.0,40.0,土山 卓也,54.8,6.93,0.0,0.04,25.0,1.0,25.0,1.0,4,20260606,24,大村,8,20260606_24_8,1-5-4,7120
1,3580,水口 由紀,B1,0.19,3.83,5.11,60.0,20.0,水口 由紀,48.3,6.99,0.0,0.19,25.0,1.0,25.0,1.0,1,20260606,24,大村,9,20260606_24_9,1-3-2,1450
2,4784,向井田 真紀,B1,0.17,3.72,5.2,40.0,0.0,向井田 真紀,50.2,6.97,0.0,0.18,25.0,1.0,25.0,1.0,3,20260606,24,大村,9,20260606_24_9,1-3-2,1450
3,5204,宇恵 有香,B2,0.0,3.95,0.0,22.22,40.0,宇恵 有香,46.0,6.94,0.0,0.2,25.0,1.0,25.0,1.0,2,20260606,24,大村,9,20260606_24_9,1-3-2,1450
4,5156,坂野 さくら,B1,0.19,4.33,0.0,16.67,28.57,坂野 さくら,47.0,6.99,0.0,-0.08,25.0,1.0,25.0,1.0,4,20260606,24,大村,9,20260606_24_9,1-3-2,1450
5,5435,中西 月輝,B2,0.0,1.33,0.0,44.44,20.0,中西 月輝,48.9,6.93,-0.5,-0.06,25.0,1.0,25.0,1.0,4,20260606,24,大村,9,20260606_24_9,1-3-2,1450
6,4385,鈴木 祐美子,B1,0.22,3.78,3.57,60.0,14.29,鈴木 祐美子,49.2,6.93,-0.5,-0.04,25.0,1.0,25.0,1.0,4,20260606,24,大村,9,20260606_24_9,1-3-2,1450
1,5238,笹木 香吾,A2,0.14,5.5,4.85,33.33,0.0,笹木 香吾,53.2,6.95,0.0,0.09,25.0,1.0,25.0,1.0,1,20260606,24,大村,10,20260606_24_10,1-5-2,2460
2,5338,香月 大輝,B1,0.18,4.14,1.96,22.22,50.0,香月 大輝,51.0,6.98,0.0,0.4,25.0,1.0,25.0,1.0,3,20260606,24,大村,10,20260606_24_10,1-5-2,2460
3,4298,宮下 元胤,A1,0.17,5.72,5.08,30.0,66.67,宮下 元胤,51.5,6.92,0.0,0.23,25.0,1.0,25.0,1.0,4,20260606,24,大村,10,20260606_24_10,1-5-2,2460
4,3282,池本 輝明,B1,0.2,4.55,4.47,40.0,50.0,池本 輝明,52.0,6.96,0.0,0.05,25.0,1.0,25.0,1.0,4,20260606,24,大村,10,20260606_24_10,1-5-2,2460
5,5158,宮脇 遼太,A2,0.17,6.77,6.67,22.22,80.0,宮脇 遼太,51.5,6.93,0.5,-0.04,25.0,1.0,25.0,1.0,2,20260606,24,大村,10,20260606_24_10,1-5-2,2460
6,4401,小林 泰,A2,0.14,5.52,5.0,0.0,16.67,小林 泰,53.9,7.01,0.0,-0.09,25.0,1.0,25.0,1.0,4,20260606,24,大村,10,20260606_24_10,1-5-2,2460
1,4379,桑島 和宏,A1,0.16,6.11,5.4,0.0,60.0,桑島 和宏,57.1,6.97,0.0,0.16,25.0,1.0,25.0,1.0,1,20260606,24,大村,11,20260606_24_11,1-4-6,2970
2,4950,高岡 竜也,A2,0.17,6.92,5.05,16.67,23.08,高岡 竜也,52.1,6.93,0.0,0.05,25.0,1.0,25.0,1.0,4,20260606,24,大村,11,20260606_24_11,1-4-6,2970
3,4610,佐藤 大佑,A2,0.16,6.24,4.5,66.67,20.0,佐藤 大佑,54.5,6.93,0.0,0.31,25.0,1.0,25.0,1.0,4,20260606,24,大村,11,20260606_24_11,1-4-6,2970
4,3454,井川 大作,B1,0.15,5.52,3.72,100.0,35.71,井川 大作,54.5,7.0,0.0,0.18,25.0,1.0,25.0,1.0,2,20260606,24,大村,11,20260606_24_11,1-4-6,2970
5,5243,三馬 崇史,A2,0.14,5.05,3.89,33.33,16.67,三馬 崇史,53.0,6.92,0.0,0.13,25.0,1.0,25.0,1.0,4,20260606,24,大村,11,20260606_24_11,1-4-6,2970
6,4737,竹井 貴史,A2,0.16,7.54,7.45,22.22,60.0,竹井 貴史,52.8,6.93,0.0,0.12,25.0,1.0,25.0,1.0,3,20260606,24,大村,11,20260606_24_11,1-4-6,2970
1,4288,永田 啓二,A1,0.13,7.31,6.97,33.33,40.0,永田 啓二,52.0,6.9,0.0,0.12,25.0,1.0,25.0,1.0,1,20260606,24,大村,12,20260606_24_12,1-2-3,790
2,4428,有賀 達也,A1,0.14,6.31,6.0,44.44,40.0,有賀 達也,52.0,6.89,0.0,0.28,25.0,1.0,25.0,1.0,2,20260606,24,大村,12,20260606_24_12,1-2-3,790
3,4174,赤坂 俊輔,A1,0.16,6.21,6.37,40.0,0.0,赤坂 俊輔,52.0,6.95,0.0,0.22,25.0,1.0,25.0,1.0,3,20260606,24,大村,12,20260606_24_12,1-2-3,790
4,4539,金子 賢志,A1,0.14,6.61,6.86,0.0,42.86,金子 賢志,52.0,6.94,0.0,-0.07,25.0,1.0,25.0,1.0,4,20260606,24,大村,12,20260606_24_12,1-2-3,790
5,3900,香川 素子,A1,0.16,6.21,7.38,33.33,12.5,香川 素子,47.3,6.98,0.0,-0.07,25.0,1.0,25.0,1.0,4,20260606,24,大村,12,20260606_24_12,1-2-3,790
6,4535,北山 康介,A1,0.14,6.35,7.17,33.33,41.67,北山 康介,53.2,6.96,0.0,0.03,25.0,1.0,25.0,1.0,4,20260606,24,大村,12,20260606_24_12,1-2-3,790
1,4271,川崎 公靖,B1,0.16,4.21,4.48,29.2,30.25,川崎 公靖,52.5,6.69,-0.5,-0.07,17.0,2.0,17.0,1.0,4,20260607,01,桐生,1,20260607_01_1,3-5-4,4130
2,3596,河上 年昭,B1,0.17,3.64,5.02,32.5,39.83,河上 年昭,52.8,6.64,0.0,0.03,17.0,2.0,17.0,1.0,4,20260607,01,桐生,1,20260607_01_1,3-5-4,4130
3,4415,下出 卓矢,A2,0.13,6.27,6.34,48.48,26.05,下出 卓矢,54.9,6.8,-0.5,-0.09,17.0,2.0,17.0,1.0,1,20260607,01,桐生,1,20260607_01_1,3-5-4,4130
4,5175,島崎 丈一朗,B2,0.21,5.0,5.0,44.71,33.9,島崎 丈一朗,52.6,6.81,-0.5,0.17,17.0,2.0,17.0,1.0,3,20260607,01,桐生,1,20260607_01_1,3-5-4,4130
5,3305,小野 信樹,B1,0.17,3.99,4.0,41.59,37.7,小野 信樹,52.4,6.86,-0.5,0.02,17.0,2.0,17.0,1.0,2,20260607,01,桐生,1,20260607_01_1,3-5-4,4130
6,5427,港 理樹,B2,0.0,2.6,2.0,29.0,33.61,港 理樹,52.0,6.86,0.0,0.09,17.0,2.0,17.0,1.0,4,20260607,01,桐生,1,20260607_01_1,3-5-4,4130
1,3804,中渡 修作,B1,0.17,5.0,5.56,30.09,40.0,中渡 修作,53.2,6.67,-0.5,0.13,19.0,3.0,17.0,2.0,2,20260607,01,桐生,2,20260607_01_2,3-1-4,13660
2,4486,野村 誠,B1,0.17,5.51,5.39,37.25,34.43,野村 誠,52.7,6.72,-0.5,0.11,19.0,3.0,17.0,2.0,4,20260607,01,桐生,2,20260607_01_2,3-1-4,13660
3,4890,石川 諒,B1,0.13,5.89,5.0,29.91,38.66,石川 諒,52.3,6.75,-0.5,0.14,19.0,3.0,17.0,2.0,1,20260607,01,桐生,2,20260607_01_2,3-1-4,13660
4,4119,泥谷 一毅,A2,0.17,5.85,6.1,47.17,25.83,泥谷 一毅,52.8,6.68,-0.5,0.03,19.0,3.0,17.0,2.0,3,20260607,01,桐生,2,20260607_01_2,3-1-4,13660
